Water Name,County,Spieces,Quanty,Average Length,Date Stocked,Latitude,Longitude
KIMBALL CR,SUMMIT,TIGER TROUT,3045,2.74,5/30/2012,40.8297566,-110.9983515
MT EMMONS L U-13,DUCHESNE,GOLDEN TROUT,996,1.3,9/24/2012,40.3477319,-110.2751567
SPARKS SP,BOX ELDER,CHUB,1998,1.7,9/4/2012,41.5380087,-113.1918021
UTAH STATE UNIV LAB,CACHE,CUTTHROAT,130,8.51,5/10/2012,41.745161,-111.8097425
W-53,SUMMIT,BROOK TROUT,109,2.3,6/25/2012,40.8297566,-110.9983515
"WHITE R, LEFT FK",WASATCH,CUTTHROAT,252,7.38,8/13/2012,40.3629418,-110.9983515
"WHITE R, MIDDLE FK",WASATCH,CUTTHROAT,252,7.38,8/13/2012,39.9581252,-111.0735342
"WHITE R, RT FK",WASATCH,CUTTHROAT,1503,7.38,8/13/2012,40.3629418,-110.9983515
CLAY BASIN,DUCHESNE,RAINBOW,18216,1.82,7/11/2011,40.4124524,-110.2423801
GARDEN CREEK POND,DAVIS,CHUB,1001,2.2,10/26/2011,40.9628845,-112.0953297
GULF POND,DUCHESNE,RAINBOW,2277,1.82,7/11/2011,40.2172448,-110.5215459
LAKE FORK POND,DUCHESNE,RAINBOW,2277,1.82,7/11/2011,40.2780123,-110.2182098
TOTEM LAKE,DUCHESNE,RAINBOW,251,10.96,9/26/2011,40.2172448,-110.5215459
WARDS CACHE POND,BEAVER,CUTTHROAT,333,1.62,9/12/2011,38.2149736,-112.4263213
ATHERLY RES,TOOELE,CHUB,2808,4.02,9/8/2010,40.507092,-113.0011989
BIG SPRING CR,RICH,CUTTHROAT,14986,3.38,11/2/2010,41.3967127,-111.4419785
BROKEN ARROW CR (FARM CR,DUCHESNE,CUTTHROAT,2004,6.14,6/23/2010,40.2172448,-110.5215459
CENTER CR,GARFIELD,CUTTHROAT,622,2.09,9/22/2010,37.8400344,-111.2845025
CHAMBERS SP,CACHE,CHUB,900,4.02,9/8/2010,41.7560026,-111.7614661
LAVERKIN CR,WASHINGTON,WOUNDFIN MINNOW,1870,2.0,3/11/2010,37.0608148,-113.6007589
MEADOW CR,GRAND,CUTTHROAT,990,2.08,9/29/2010,39.0857902,-109.7591675
MONROE CR,SEVIER,RAINBOW,250,10.33,7/8/2010,38.6299724,-112.1207573
PIOCHE CR,UINTAH,CUTTHROAT,990,2.08,9/29/2010,40.1069499,-109.3783206
"PROVO R, UPPER, N FK",SUMMIT,RAINBOW,125,10.44,6/29/2010,40.8297566,-110.9983515
SHE CYN CR,GRAND,CUTTHROAT,1500,2.08,9/29/2010,39.3252446,-109.6370762
STOKES NATURE CENTER PON,CACHE,CHUB,900,4.02,9/8/2010,41.7419348,-111.7684633
WILKINSON RES,MORGAN,RAINBOW,2004,10.14,5/5/2010,41.0576176,-111.6183755
"WILLOW CR, WEST",GRAND,CUTTHROAT,2460,2.08,9/29/2010,39.0857902,-109.7591675
HARDY L,UTAH,GRAYLING ARCTIC,4031,1.4,8/3/2009,40.0966287,-111.5706786
OGDEN R L FK MID,WEBER,RAINBOW,349,10.68,8/12/2009,41.223,-111.9738304
RC- 1,DUCHESNE,CUTTHROAT,1274,1.43,9/16/2009,40.2172448,-110.5215459
STRAIGHT CYN CR,EMERY,BROWN TROUT,2512,4.11,6/16/2009,39.2752437,-111.1748928
W LOCOMOTIVE SP,BOX ELDER,RAINBOW,324,9.05,9/29/2009,41.5380087,-113.1918021
BIRCH CR POND,RICH,RAINBOW,1202,9.28,5/19/2008,41.5629707,-111.1891151
CLUSTER SPRING,BOX ELDER,CHUB,200,1.77,4/18/2008,41.5380087,-113.1918021
DEEP CR,GARFIELD,CUTTHROAT,82,5.0,8/19/2008,37.8400344,-111.2845025
DF-10,UINTAH,CUTTHROAT,1002,1.42,9/24/2008,40.1069499,-109.3783206
MEEKS L BTS,GARFIELD,RAINBOW,1522,2.97,7/7/2008,37.8400344,-111.2845025
NORTH FIELD RES,SANPETE,RAINBOW,750,9.36,5/14/2008,39.3090085,-111.5706786
"OGDEN R, S FK",WEBER,TIGER TROUT,9900,2.12,4/3/2008,41.223,-111.9738304
PILOT SPRING SE,BOX ELDER,CHUB,700,1.77,4/18/2008,41.9429747,-113.0486002
PIPPEN L U-9,DUCHESNE,CUTTHROAT,496,1.42,9/24/2008,40.2172448,-110.5215459
DAYBREAK LAKE,SALT LAKE,RAINBOW,385,16.56,3/23/2007,40.549725,-112.0025517
DEATH CR RES,BOX ELDER,RAINBOW,510,9.93,5/30/2007,41.5380087,-113.1918021
DEVIL CR,BEAVER,CUTTHROAT,999,1.51,9/20/2007,38.3266376,-113.287085
FOUNTAIN GREEN POND,SANPETE,RAINBOW,198,9.86,5/16/2007,39.6299598,-111.635199
"HUNT CR, E FK",GARFIELD,CUTTHROAT,500,2.46,10/25/2007,37.8400344,-111.2845025
"HUNT CR, W FK",GARFIELD,CUTTHROAT,500,2.46,10/25/2007,37.8400344,-111.2845025
KREBS CR,DUCHESNE,CUTTHROAT,6002,2.22,9/18/2007,40.2172448,-110.5215459
LOWEST WPA,SANPETE,BROOK TROUT,500,3.9,6/27/2007,39.3090085,-111.5706786
SKUNK CR,GARFIELD,CUTTHROAT,500,2.46,10/25/2007,37.8400344,-111.2845025
"ASH CR, SOUTH",WASHINGTON,CUTTHROAT,77,2.81,10/17/2006,40.7606608,-111.8939487
HARMAN CR,WASHINGTON,CUTTHROAT,50,5.93,9/29/2006,37.3224877,-113.4776098
LAKETOWN CYN,RICH,RAINBOW,324,10.14,5/31/2006,41.7195382,-111.3899472
LEAP CR,WASHINGTON,CUTTHROAT,150,2.92,10/3/2006,37.3985499,-113.3385193
PINCHOT TRAIL #1,SANPETE,BROOK TROUT,150,3.22,8/7/2006,39.3090085,-111.5706786
WATER CYN,WASHINGTON,CUTTHROAT,48,2.92,10/25/2006,37.0049873,-112.9685846
WEBER JOB CORP P,DAVIS,RAINBOW,2161,6.64,6/1/2006,41.1317979,-111.8997489
"ASHLEY CR, N FK",UINTAH,RAINBOW,780,9.87,6/27/2005,40.1069499,-109.3783206
BEAR SPRINGS P,CARBON,TIGER TROUT,228,4.43,8/26/2005,39.6479807,-110.6168921
BLANEY RES,BEAVER,RAINBOW,197,10.0,6/25/2005,38.3266376,-113.287085
CLINTON POND CR,DAVIS,CHANNEL CATFISH,375,14.94,7/18/2005,41.1506649,-112.0793081
DOLLAR L WR-43,UINTAH,BROOK TROUT,697,2.65,7/15/2005,40.1069499,-109.3783206
DOUDY POND,BOX ELDER,CUTTHROAT,8,7.94,6/30/2005,41.5380087,-113.1918021
"ELKHORN L, SOUTH",WAYNE,BROOK TROUT,98,3.04,8/2/2005,38.5038923,-111.5007564
ISLAND L,SANPETE,BROOK TROUT,1181,3.12,8/4/2005,39.3090085,-111.5706786
MEER L,BEAVER,RAINBOW,197,10.0,6/25/2005,38.3266376,-113.287085
MILL CYN,WASHINGTON,CUTTHROAT,59,7.09,11/17/2005,37.3224877,-113.4776098
"OGDEN R, N. FK",WEBER,RAINBOW,156,10.14,5/24/2005,41.223,-111.9738304
OTTER L,BEAVER,RAINBOW,586,10.0,6/25/2005,38.3266376,-113.287085
PAITS PUDDLE,SANPETE,BROOK TROUT,115,3.12,8/4/2005,39.3090085,-111.5706786
PERRYS POND TLM,WAYNE,BROOK TROUT,98,3.04,8/2/2005,38.3337024,-110.8076084
PROVIDENCE CR,CACHE,BROWN TROUT,1007,5.17,7/13/2005,41.7063204,-111.817165
"SAND COVE RES, LOWER",WASHINGTON,BASS LARGEMOUTH,401,3.67,3/22/2005,37.3011604,-113.6974571
SANTA CLARA R,WASHINGTON,BROWN TROUT,3015,5.16,6/22/2005,37.1330355,-113.6541266
"TWIN L, LOWER",GARFIELD,CUTTHROAT,998,1.79,10/5/2005,37.8400344,-111.2845025
"TWIN L, UPPER",GARFIELD,CUTTHROAT,998,1.79,10/5/2005,37.8400344,-111.2845025
WHITE LEDGE BEAVER P,SANPETE,BROOK TROUT,204,3.12,8/4/2005,39.3469074,-111.4696329
SOUTH WILLOW CR,TOOELE,RAINBOW,501,9.75,6/10/2004,40.5167597,-112.5141554
WHITE MOUNTAIN POND,SEVIER,BROOK TROUT,105,2.45,7/22/2004,38.7333524,-111.6660725
BIG SLOUGH,BEAVER,BROWN TROUT,2523,3.41,6/23/2003,38.3266376,-113.287085
ELDER POND,UINTAH,RAINBOW,60,20.27,10/7/2003,40.1069499,-109.3783206
GATES CR,SEVIER,CUTTHROAT,3002,1.81,10/15/2003,38.7333524,-111.6660725
GILBERT CR,SUMMIT,CUTTHROAT,258,5.23,7/22/2003,40.8297566,-110.9983515
OURAY L X-112,DUCHESNE,CUTTHROAT,208,1.76,10/3/2003,40.2172448,-110.5215459
PINTO CR,WASHINGTON,RAINBOW,221,5.27,6/5/2003,37.3224877,-113.4776098
ROCK CLIFF ST PARK,WASATCH,RAINBOW,58,9.52,6/13/2003,40.6050256,-111.3402397
"TOWA P, MIDDLE",WASHINGTON,RAINBOW ALBINO,63,18.12,1/27/2003,37.3224877,-113.4776098
TWITCHELL CR,GARFIELD,CUTTHROAT,498,1.68,10/15/2003,37.8400344,-111.2845025
TWOROOSE L X-36,DUCHESNE,CUTTHROAT,1092,1.76,10/3/2003,40.2172448,-110.5215459
WASATCH FNT URBAN F,SALT LAKE,RAINBOW,998,9.5,5/13/2003,40.644188,-111.9522491
X- 75,DUCHESNE,CUTTHROAT,208,1.76,10/3/2003,40.2172448,-110.5215459
12 SECRET,SANPETE,BROOK TROUT,178,3.04,7/17/2002,39.3090085,-111.5706786
BOB BISHOP CYN CR,CARBON,CUTTHROAT,31,7.07,11/1/2002,39.6038536,-111.0282224
DEAD HORSE BT,WAYNE,RAINBOW,502,10.1,6/21/2002,38.3337024,-110.8076084
DRAPER POND,SALT LAKE,RAINBOW,500,9.53,4/3/2002,40.5246711,-111.8638226
GEORGE BEARD L U-21,DUCHESNE,BROOK TROUT,746,2.34,6/27/2002,40.2172448,-110.5215459
GEYSER SPRING P,SAN JUAN,CUTTHROAT,98,5.5,5/30/2002,37.9744487,-109.2274035
JUMP CR PONDS,SEVIER,BROOK TROUT,108,2.86,7/23/2002,38.7333524,-111.6660725
NEW FLD FDR BEAVER L,SANPETE,BROOK TROUT,178,3.04,7/17/2002,39.3090085,-111.5706786
S FK 12 CRK POND,SANPETE,BROOK TROUT,356,3.04,7/17/2002,39.3090085,-111.5706786
TEN MILE CR,PIUTE,CUTTHROAT,248,9.95,7/1/2002,38.3575735,-112.2093423
"TROUT CR, W FK",WASATCH,CUTTHROAT,53952,1.57,7/9/2002,40.2651275,-111.1041565
UPPER BLUE MEADOW 1,SANPETE,BROOK TROUT,178,3.04,7/17/2002,39.3090085,-111.5706786
UPPER BLUE MEADOW 2,SANPETE,BROOK TROUT,178,3.04,7/17/2002,39.3090085,-111.5706786
UPPER BLUE MEADOW 3,SANPETE,BROOK TROUT,178,3.04,7/17/2002,39.3090085,-111.5706786
"W CROSS CYN P, LOWER",SAN JUAN,BASS LARGEMOUTH,48,9.12,4/25/2002,38.1122083,-109.9670731
WAHWEAP PONDS,KANE,RAINBOW,2790,2.53,1/22/2002,37.002385,-111.5052275
WHITE MTN WEST POND,SEVIER,BROOK TROUT,249,2.86,7/23/2002,38.7333524,-111.6660725
"WOODS L, SOUTH",SANPETE,BROOK TROUT,267,3.04,7/17/2002,39.3090085,-111.5706786
