Water Name,County,Spieces,Quanty,Average Length,Date Stocked,Latitude,Longitude
BUD L Z-2,DUCHESNE,BROOK TROUT,561,2.9,07/02/2024,40.2172448,-110.5215459
"BULBERRY L, SOUTH",WAYNE,BROOK TROUT,107,2.96,07/15/2024,38.2651163,-111.4606366
BULLBERRY L#4(NORTH),WAYNE,TIGER TROUT,61,2.91,07/15/2024,38.3337024,-110.8076084
BULLOCK RES,UINTAH,MUSKIE TIGER,467,2.0,04/16/2024,40.1069499,-109.3783206
BUNKER CR,IRON,CUTTHROAT,4500,1.85,09/23/2024,37.7854715,-113.1918021
BURRASTON PONDS,JUAB,RAINBOW,200,17.1,02/29/2024,39.7963208,-111.8659878
BUTTERFLY L Z-1,DUCHESNE,RAINBOW,299,12.25,06/19/2024,40.2172448,-110.5215459
CALDER RES,UINTAH,GRASS CARP STERILE,90,10.0,05/16/2024,40.1069499,-109.3783206
CAMP KOSTOPAULUS,SALT LAKE,RAINBOW,399,9.55,05/07/2024,40.7644488,-111.780398
CANYON VIEW PARK PD,UTAH,RAINBOW,430,9.52,03/11/2024,40.0825933,-111.6008991
CARBON CNTY P,CARBON,RAINBOW,253,10.44,04/09/2024,39.6479807,-110.6168921
CAROL L W-51,SUMMIT,BROOK TROUT,265,2.9,07/02/2024,40.8297566,-110.9983515
CART CR,DAGGETT,RAINBOW,199,9.84,06/11/2024,40.9053845,-109.5211063
CARTER CR,DAGGETT,BROOK TROUT,3794,5.29,09/10/2024,40.9053845,-109.5211063
"CARTER CR, E FK",DAGGETT,CUTTHROAT,200,5.6,07/01/2024,40.9053845,-109.5211063
"CARTER CR, W FK",DAGGETT,CUTTHROAT,400,5.6,07/01/2024,40.9053845,-109.5211063
CASPERS POND,CACHE,RAINBOW,1000,12.1,05/29/2024,41.9482417,-111.8310021
CASTLE L D-14,DUCHESNE,CUTTHROAT,196,1.48,09/23/2024,40.2172448,-110.5215459
CASTLE L G-11,SUMMIT,TIGER TROUT,603,2.78,07/08/2024,40.8297566,-110.9983515
CATHERINE L,SALT LAKE,BROOK TROUT,1199,2.92,07/01/2024,40.7764134,-111.8670978
CAUSEY RES,WEBER,LAKE TROUT,7379,3.19,05/14/2024,41.3021813,-111.5863291
CHAIN L NO 4 U-4,DUCHESNE,CUTTHROAT,681,1.85,09/23/2024,40.2172448,-110.5215459
CHALK CR,MILLARD,RAINBOW,142,10.47,05/20/2024,39.0611744,-113.1918021
CHARITY L P-16,SUMMIT,BROOK TROUT,204,2.9,07/03/2024,40.8297566,-110.9983515
CHINA L G-21,SUMMIT,BROOK TROUT,3885,2.91,06/28/2024,40.8297566,-110.9983515
CHUCK L BTN,GARFIELD,BROOK TROUT,96,2.63,06/24/2024,37.8400344,-111.2845025
CISCO WASH,GRAND,CHUB,1182,10.72,04/22/2024,39.0029482,-109.3892142
CLEAR L NBS,WAYNE,TIGER TROUT,61,2.91,07/15/2024,38.3337024,-110.8076084
CLEGG L A-47,SUMMIT,BROOK TROUT,255,2.9,07/03/2024,40.8297566,-110.9983515
CLEVELAND RES,EMERY,RAINBOW,999,10.44,05/30/2024,39.3488582,-110.8515521
CLINTON POND,DAVIS,RAINBOW,301,10.18,02/26/2024,41.1506649,-112.0793081
COLD SPRING L,SEVIER,RAINBOW,500,9.95,06/10/2024,38.7333524,-111.6660725
COLD SPRING LAKES,BOX ELDER,RAINBOW,500,11.31,04/01/2024,41.6298523,-112.0813573
COLEMAN RES NBS,WAYNE,RAINBOW,154,8.67,07/15/2024,38.3337024,-110.8076084
COMMUNITY L,SANPETE,RAINBOW,500,10.14,05/14/2024,39.3090085,-111.5706786
CONTINENT L X-121,DUCHESNE,CUTTHROAT,2695,1.48,09/23/2024,40.3683223,-110.0296331
COOK L BT,WAYNE,BROOK TROUT,499,2.62,06/24/2024,38.3337024,-110.8076084
CORN CR,MILLARD,RAINBOW,146,10.47,05/20/2024,38.7923092,-112.4250012
CORNER BEAVER #1,SANPETE,BROOK TROUT,125,2.71,07/01/2024,39.3090085,-111.5706786
CORNER BEAVER #2,SANPETE,BROOK TROUT,125,2.71,07/01/2024,39.3090085,-111.5706786
COTTONWOOD RES,UINTAH,MUSKIE TIGER,1248,2.0,04/16/2024,40.3538232,-109.7874439
COVE L,SANPETE,TIGER TROUT,1001,4.45,08/05/2024,39.3090085,-111.5706786
COVE POND,SALT LAKE,RAINBOW,238,14.33,02/27/2024,40.4937326,-112.0564863
CRATER L BTS,GARFIELD,BROOK TROUT,205,2.63,06/24/2024,37.8400344,-111.2845025
CRATER L X-94,DUCHESNE,SPLAKE,706,2.94,07/09/2024,40.2172448,-110.5215459
CRESCENT L BTS,GARFIELD,TIGER TROUT,52,2.68,06/24/2024,37.8400344,-111.2845025
CROUSE RES,UINTAH,RAINBOW,2267,3.49,05/15/2024,40.1069499,-109.3783206
CRYSTAL L A-51,SUMMIT,BROOK TROUT,1000,2.9,07/03/2024,40.8297566,-110.9983515
CUB L BT,WAYNE,BROOK TROUT,55,2.63,06/24/2024,38.3337024,-110.8076084
CUBERANT NO 1 W-42,SUMMIT,BROOK TROUT,398,2.9,07/02/2024,40.8297566,-110.9983515
CURRANT CR,WASATCH,RAINBOW,498,10.08,06/21/2024,40.3828509,-111.1567501
CURRANT CR RES,WASATCH,RAINBOW,3570,10.6,05/22/2024,40.3629418,-110.9983515
CUTTHROAT L BR-37,SUMMIT,BROOK TROUT,398,2.9,07/02/2024,40.8297566,-110.9983515
D-19,DUCHESNE,BROOK TROUT,41,2.9,07/02/2024,40.2172448,-110.5215459
DALE L Z-39,DUCHESNE,BROOK TROUT,1469,2.91,06/28/2024,40.2172448,-110.5215459
DARK CYN L,SAN JUAN,RAINBOW,1000,9.95,06/11/2024,37.4634157,-109.7591675
DAYNES L Z-38,DUCHESNE,BROOK TROUT,2003,2.91,06/28/2024,40.2172448,-110.5215459
DEAD L BTS,GARFIELD,BROOK TROUT,96,2.63,06/24/2024,37.8400344,-111.2845025
DEAD L WR-29,UINTAH,GRAYLING ARCTIC,299,2.47,09/23/2024,40.1069499,-109.3783206
DEADMAN L GR-38,UINTAH,BROOK TROUT,1042,2.93,06/26/2024,40.1069499,-109.3783206
DEAN L W-35,SUMMIT,GRAYLING ARCTIC,448,2.47,09/25/2024,40.8297566,-110.9983515
DEAN L Z-40,DUCHESNE,BROOK TROUT,1603,2.91,06/28/2024,40.1652442,-110.4262936
DEEP CR L TLM,WAYNE,BROOK TROUT,205,2.63,06/25/2024,38.3337024,-110.8076084
DEEP L,SEVIER,RAINBOW,1461,10.24,06/04/2024,38.7333524,-111.6660725
DEER CR,SAN JUAN,CUTTHROAT,498,2.79,08/08/2024,37.4634157,-109.7591675
DEER CR L EBS,GARFIELD,BROOK TROUT,998,2.63,06/25/2024,38.0129517,-111.3769629
DEER CR RES,WASATCH,RAINBOW,18956,3.3,03/06/2024,40.44528,-111.4961523
DEER VALLEY LAKES,SUMMIT,RAINBOW,598,10.32,05/06/2024,40.6241981,-111.4909355
DELONG CR,IRON,CUTTHROAT,4500,1.85,09/23/2024,37.7854715,-113.1918021
DENISE L WR-9,DUCHESNE,BROOK TROUT,249,2.93,06/26/2024,40.2172448,-110.5215459
DIAMOND FK R,UTAH,BROWN TROUT,15015,3.33,05/09/2024,40.2262583,-111.6607527
DIAMOND L A-22,SUMMIT,BROOK TROUT,296,2.9,07/03/2024,40.8297566,-110.9983515
DMAD RES,MILLARD,WALLEYE,119000,0.41,04/09/2024,39.0611744,-113.1918021
DONKEY L NBS,WAYNE,MUSKIE TIGER,100,5.39,06/12/2024,38.3337024,-110.8076084
DONS L,GRAND,RAINBOW,1038,10.47,05/20/2024,39.0857902,-109.7591675
DOUGHERTY BASIN NCL,GARFIELD,CUTTHROAT,1000,1.69,09/26/2024,37.92193049999999,-111.8365763
DRY WASH RES,SAN JUAN,RAINBOW,1290,10.47,05/13/2024,37.4634157,-109.7591675
DUCHESNE R,DUCHESNE,RAINBOW,400,10.12,06/26/2024,40.1632913,-110.4029329
"DUCHESNE R, N FK",DUCHESNE,RAINBOW,1000,10.12,06/26/2024,40.1632913,-110.4029329
DUCK CR,KANE,RAINBOW,245,10.41,05/24/2024,37.293251,-112.4291464
DUCK CR SPRINGS,KANE,RAINBOW,653,10.19,05/13/2024,37.293251,-112.4291464
DUCK FK RES,SANPETE,CUTTHROAT,1288,7.8,08/22/2024,39.3090085,-111.5706786
DWAIN'S POND NBS,WAYNE,BROOK TROUT,52,2.89,07/15/2024,38.3337024,-110.8076084
EAST CYN RES,MORGAN,RAINBOW,5000,10.92,04/18/2024,40.9077889,-111.5900555
EAST L BTS,GARFIELD,BROOK TROUT,249,2.62,06/24/2024,37.8400344,-111.2845025
EAST PARK RES,UINTAH,RAINBOW,1741,11.93,05/31/2024,40.7782914,-109.5456962
EAST PARLEY'S,SANPETE,BROOK TROUT,301,2.71,07/01/2024,39.3090085,-111.5706786
ECHO RES,SUMMIT,RAINBOW,4251,13.19,04/29/2024,40.9471489,-111.4067217
ELBOW L WR-58,DUCHESNE,BROOK TROUT,2606,2.93,06/26/2024,40.2172448,-110.5215459
ELECTRIC L,EMERY,TIGER TROUT,10065,4.27,07/30/2024,39.0738385,-110.7122465
EMERALD L,SANPETE,RAINBOW,999,9.41,07/16/2024,39.3090085,-111.5706786
EMERALD L D-20,DUCHESNE,BROOK TROUT,41,2.9,07/02/2024,40.2172448,-110.5215459
EMERY (LARSON) RES,SANPETE,TIGER TROUT,2511,2.68,06/25/2024,39.3090085,-111.5706786
"ENTERPRISE RES,LOWER",WASHINGTON,RAINBOW,3375,9.95,03/12/2024,37.5735867,-113.7191329
"ENTERPRISE RES,UPPER",WASHINGTON,RAINBOW,13000,5.71,03/04/2024,37.5189985,-113.8659097
EVERMAN L Z-36,DUCHESNE,BROOK TROUT,796,2.9,07/03/2024,40.2172448,-110.5215459
FAIRMONT PARK SLC,SALT LAKE,RAINBOW,500,10.0,03/19/2024,40.7200621,-111.8653145
FAIRVIEW L,SANPETE,RAINBOW,1680,10.6,06/03/2024,39.626351,-111.4396325
FAITH L A-16,SUMMIT,BROOK TROUT,102,2.9,07/03/2024,40.8297566,-110.9983515
FARMINGTON CITY RES,DAVIS,RAINBOW,300,17.1,03/18/2024,40.9804999,-111.8874392
FARNSWORTH L,SEVIER,RAINBOW,1008,10.09,06/24/2024,38.7748408,-111.6540431
FARRALS POND TLM,SEVIER,TIGER TROUT,52,2.89,07/22/2024,38.5467357,-111.45684
FERRON RES,SANPETE,RAINBOW,1000,10.77,07/02/2024,39.3090085,-111.5706786
FISH CR L NBS,WAYNE,TIGER TROUT,1002,2.68,06/24/2024,38.3337024,-110.8076084
FISH L,SEVIER,RAINBOW,2376,11.86,05/02/2024,38.7333524,-111.6660725
FIVE POINT L X-106,DUCHESNE,CUTTHROAT,3456,1.85,09/23/2024,40.2172448,-110.5215459
FLAMING GORGE RES,DAGGETT,RAINBOW,5492,9.13,04/14/2024,40.988033,-109.72244
FLAT L NCL,GARFIELD,BROOK TROUT,97,2.62,06/25/2024,37.8400344,-111.2845025
FLOATING ISLAND TLM,SEVIER,TIGER TROUT,155,2.89,07/22/2024,38.7333524,-111.6660725
FLORENCE L,SALT LAKE,BROOK TROUT,504,2.92,07/01/2024,40.6861119,-111.856901
FOREBAY POND,IRON,RAINBOW,540,10.08,05/01/2024,37.7854715,-113.1918021
FORSYTH RES,SEVIER,TIGER TROUT,3311,3.2,06/26/2024,38.7333524,-111.6660725
FOY L,SAN JUAN,RAINBOW,1625,9.95,05/22/2024,37.9058842,-109.5039596
FREMONT R,WAYNE,BROWN TROUT,1999,2.59,04/17/2024,38.4574783,-111.6196278
FT BUENAVENTURA P,WEBER,RAINBOW,500,10.0,03/13/2024,41.2204023,-111.9882658
G- 13,SUMMIT,BROOK TROUT,801,2.91,06/28/2024,40.8297566,-110.9983515
G- 52,SUMMIT,BROOK TROUT,304,2.91,06/28/2024,40.8297566,-110.9983515
G- 56,SUMMIT,BROOK TROUT,146,2.91,06/28/2024,40.8297566,-110.9983515
G- 60,SUMMIT,TIGER TROUT,255,2.78,07/08/2024,40.8297566,-110.9983515
G- 61,SUMMIT,BROOK TROUT,401,2.91,06/28/2024,40.8297566,-110.9983515
G- 64,SUMMIT,TIGER TROUT,336,2.78,07/08/2024,40.8297566,-110.9983515
G- 68,SUMMIT,BROOK TROUT,408,2.9,07/09/2024,40.8297566,-110.9983515
G- 71,SUMMIT,BROOK TROUT,306,2.9,07/09/2024,40.8297566,-110.9983515
G- 74,SUMMIT,BROOK TROUT,296,2.9,07/09/2024,40.8297566,-110.9983515
GARDEN CITY HERITAGE COM,RICH,WIPER,300,8.55,05/23/2024,41.946878,-111.3935397
GARKANE EAST FK,GARFIELD,TIGER TROUT,398,9.62,06/19/2024,37.6582022,-112.432529
"GARKANE IMP, MAIN FK",GARFIELD,RAINBOW,529,10.24,04/17/2024,37.6582022,-112.432529
GATES L,SEVIER,RAINBOW,804,10.09,06/24/2024,38.7333524,-111.6660725
GEM L Z-18,DUCHESNE,BROOK TROUT,204,2.9,07/03/2024,40.2172448,-110.5215459
GHOST POND,UINTAH,TIGER TROUT,124,5.64,09/26/2024,40.1069499,-109.3783206
GIGLIOTTI POND,CARBON,RAINBOW,1016,10.86,05/02/2024,39.7024304,-110.8660472
GLASSMANS POND,WEBER,RAINBOW,201,9.55,03/25/2024,41.1799124,-111.9516442
GLENWOOD POND,SEVIER,RAINBOW,150,9.95,03/11/2024,38.7633008,-111.9902025
GOOD SKI LAKE (21ST PO),WEBER,RAINBOW,1000,10.0,03/12/2024,41.2305765,-111.9942156
GOOSEBERRY RES,SANPETE,RAINBOW,1302,10.6,06/04/2024,39.3090085,-111.5706786
GR-104,DAGGETT,GRAYLING ARCTIC,299,2.47,09/23/2024,40.9053845,-109.5211063
GR-152,SUMMIT,BROOK TROUT,497,2.93,06/26/2024,40.8297566,-110.9983515
GR-160,SUMMIT,BROOK TROUT,255,2.91,06/28/2024,40.8297566,-110.9983515
GR-161,SUMMIT,GRAYLING ARCTIC,199,2.47,09/25/2024,40.8297566,-110.9983515
GR-163,SUMMIT,GRAYLING ARCTIC,299,2.47,09/25/2024,40.8297566,-110.9983515
GR-164,SUMMIT,GRAYLING ARCTIC,299,2.47,09/25/2024,40.8297566,-110.9983515
GR-172,SUMMIT,GRAYLING ARCTIC,148,2.47,09/25/2024,40.8297566,-110.9983515
GR-173,SUMMIT,BROOK TROUT,401,2.91,06/28/2024,40.8297566,-110.9983515
GRANTSVILLE RES,TOOELE,RAINBOW,1248,10.14,03/20/2024,40.5436691,-112.5027439
GRASS L SB,GARFIELD,BROOK TROUT,152,2.62,06/25/2024,37.8400344,-111.2845025
GRASS L TLM,WAYNE,BROOK TROUT,109,2.84,07/22/2024,38.3337024,-110.8076084
GRASSY LAKE RES,SANPETE,RAINBOW,500,10.77,06/18/2024,39.322213,-111.331261
GREEN L EBS,GARFIELD,BROOK TROUT,152,2.62,06/25/2024,37.8400344,-111.2845025
GREEN L NBS,WAYNE,BROOK TROUT,506,2.63,06/24/2024,38.3337024,-110.8076084
GREEN R,DAGGETT,RAINBOW,2354,9.75,07/03/2024,40.9053845,-109.5211063
GUNNISON BEND RES,MILLARD,WALLEYE,86000,0.41,04/09/2024,39.3493634,-112.6153953
HACKING L GR-40,UINTAH,TIGER TROUT,251,3.62,07/06/2024,40.3836721,-109.6013143
HALF MOON L BTS,GARFIELD,BROOK TROUT,499,2.62,06/24/2024,37.8400344,-111.2845025
HAMILTON RES,SEVIER,TIGER TROUT,103,3.45,08/12/2024,38.7333524,-111.6660725
HAYDEN FK,SUMMIT,RAINBOW,264,10.14,07/02/2024,40.8297566,-110.9983515
"HEART L, NORTH NB",WAYNE,TIGER TROUT,61,2.91,07/15/2024,38.3337024,-110.8076084
"HEART L, SOUTH NBS",WAYNE,TIGER TROUT,61,2.91,07/15/2024,38.3337024,-110.8076084
HENDRICKSON L,IRON,BROOK TROUT,998,2.63,06/25/2024,37.7854715,-113.1918021
HIDDEN L,GRAND,RAINBOW,1038,10.47,05/20/2024,39.0857902,-109.7591675
HIDDEN L A-15,SUMMIT,BROOK TROUT,796,2.9,07/03/2024,40.8297566,-110.9983515
HIGHLAND GLEN PARK P,UTAH,RAINBOW,204,11.86,02/21/2024,40.4149174,-111.7822301
HINKINS POND,EMERY,RAINBOW,499,10.86,05/02/2024,39.0738385,-110.7122465
HOBBS RESERVOIR,DAVIS,RAINBOW,900,9.48,05/01/2024,41.1017748,-111.9190863
HOLMES CR RES,DAVIS,RAINBOW,1000,10.17,02/27/2024,40.9628845,-112.0953297
HOOP L,SUMMIT,RAINBOW,2240,12.13,05/28/2024,40.8297566,-110.9983515
HORSESHOE L BTS,GARFIELD,TIGER TROUT,52,2.68,06/24/2024,37.8400344,-111.2845025
HUNTINGTON NORTH RES,EMERY,RAINBOW,1507,10.44,04/09/2024,39.3266354,-110.9646113
HUNTINGTON RES,SANPETE,WIPER,9990,2.04,07/17/2024,39.3090085,-111.5706786
HYRUM RES,CACHE,RAINBOW,4000,11.58,04/17/2024,41.61908469999999,-111.858349
Harrisville City Pond,WEBER,RAINBOW,800,9.52,03/27/2024,41.2813323,-111.9882754
INDIAN CR,WASATCH,CUTTHROAT,25500,3.23,09/25/2024,40.0783958,-111.2089982
INDIAN CR RES,BEAVER,RAINBOW,1012,10.24,05/13/2024,38.4317192,-112.5561488
IRON MINE L D-33,WASATCH,TIGER TROUT,544,9.21,06/19/2024,40.3629418,-110.9983515
JACKS L A-13,SUMMIT,BROOK TROUT,122,2.9,07/03/2024,40.8297566,-110.9983515
JACKSON FLAT RES.,KANE,RAINBOW,23161,2.16,04/23/2024,37.0072567,-112.5164909
JAMES L A-31,SUMMIT,BROOK TROUT,204,2.9,07/03/2024,40.8297566,-110.9983515
JEAN L W-58,SUMMIT,GRAYLING ARCTIC,148,2.47,09/25/2024,40.8297566,-110.9983515
JENSEN NATURE PARK POND,DAVIS,BROOK TROUT,320,15.21,01/22/2024,41.0664944,-112.0528306
JERRY L W-28,SUMMIT,BROOK TROUT,398,2.9,07/02/2024,40.8297566,-110.9983515
JESSON L GR-1,SUMMIT,TIGER TROUT,634,3.64,06/26/2024,40.8297566,-110.9983515
JEWKES-VAN BUREN L,SANPETE,TIGER TROUT,988,4.27,07/31/2024,39.3090085,-111.5706786
JOAN L Z-19,DUCHESNE,BROOK TROUT,500,2.9,07/03/2024,40.2172448,-110.5215459
JOE LAY L NCL,GARFIELD,BROOK TROUT,194,2.62,06/25/2024,37.8400344,-111.2845025
JOES VALLEY RES,EMERY,MUSKIE TIGER,25307,2.95,04/24/2024,39.30867689999999,-111.2723104
JOHN L A-30,SUMMIT,BROOK TROUT,296,2.9,07/03/2024,40.8297566,-110.9983515
JOHNSON RES,SEVIER,MUSKIE TIGER,1168,3.19,05/13/2024,38.7333524,-111.6660725
JORDAN L Z-35,DUCHESNE,BROOK TROUT,1795,2.9,07/03/2024,40.2172448,-110.5215459
JORDAN R,SALT LAKE,CHANNEL CATFISH,200,13.57,09/05/2024,40.7716951,-111.8580791
JORDANELLE RES,WASATCH,RAINBOW,1089,12.37,04/29/2024,40.6215005,-111.409391
KATY L WR-34,DUCHESNE,CUTTHROAT,898,1.48,09/23/2024,40.2172448,-110.5215459
KAYSVILLE STAKE POND,DAVIS,RAINBOW,200,20.05,01/23/2024,41.0352216,-111.9385521
KENS L,SAN JUAN,RAINBOW,3250,9.95,03/11/2024,37.4634157,-109.7591675
"KENTS L, LOWER",BEAVER,TIGER TROUT,126,3.76,07/09/2024,38.3266376,-113.287085
"KENTS L, MIDDLE",BEAVER,RAINBOW,1001,7.7,05/23/2024,38.3266376,-113.287085
"KENTS L, UPPER",BEAVER,TIGER TROUT,510,2.91,07/16/2024,38.3266376,-113.287085
KIDNEY L X-35,DUCHESNE,CUTTHROAT,17962,1.85,09/23/2024,40.2187571,-110.3272537
KIDNEY POND,SALT LAKE,RAINBOW,126,16.67,01/23/2024,40.5461114,-111.9167108
KNIGHT IDEAL POND,CARBON,RAINBOW,357,10.86,05/02/2024,39.5382441,-110.7185733
KOLOB RES,WASHINGTON,RAINBOW,3752,9.52,06/13/2024,37.3224877,-113.4776098
KOOSHAREM RES,SEVIER,CUTTHROAT,5555,8.22,03/18/2024,38.5102559,-111.8813011
LA SAL CR,SAN JUAN,CUTTHROAT,1502,2.41,08/08/2024,38.2987099,-109.2749551
LABARON RES,BEAVER,BROOK TROUT,1034,2.89,07/16/2024,38.3266376,-113.287085
LAKE CANYON L,DUCHESNE,CUTTHROAT,501,5.44,06/02/2024,40.0633032,-110.6168322
LAKE FK R,DUCHESNE,RAINBOW,400,10.08,06/21/2024,40.2172448,-110.5215459
LAKETOWN RES,RICH,RAINBOW,1000,11.39,04/23/2024,41.8254935,-111.3224256
LAMBERT L LF-21,DUCHESNE,BROOK TROUT,699,2.93,06/26/2024,40.2172448,-110.5215459
LAMBERT MEADOW L A-2,SUMMIT,BROOK TROUT,153,2.9,07/03/2024,40.62050120000001,-110.9932253
LARVAE L WR-12,DUCHESNE,BROOK TROUT,403,2.93,06/26/2024,40.2172448,-110.5215459
LECONTE L Z-33,DUCHESNE,CUTTHROAT,1404,1.48,09/23/2024,40.2172448,-110.5215459
LEDGE L BTS,GARFIELD,BROOK TROUT,194,2.62,06/24/2024,37.8400344,-111.2845025
LEDGE L X-113,DUCHESNE,CUTTHROAT,310,1.48,09/23/2024,40.2172448,-110.5215459
LEIGH HILL RES,IRON,RAINBOW,1107,10.55,02/28/2024,37.7854715,-113.1918021
LF-43,DUCHESNE,BROOK TROUT,249,2.93,06/26/2024,40.2172448,-110.5215459
LILLIAN L A-43,SUMMIT,BROOK TROUT,204,2.9,07/03/2024,40.8297566,-110.9983515
LILLY L A-58,SUMMIT,RAINBOW,299,12.25,06/19/2024,40.8297566,-110.9983515
LILY L BR-11,SUMMIT,RAINBOW,1075,10.52,06/05/2024,40.8297566,-110.9983515
LILY L LOWER A-25,SUMMIT,BROOK TROUT,153,2.9,07/03/2024,40.8297566,-110.9983515
"LILY PAD,LOWER DG-26",DUCHESNE,BROOK TROUT,450,2.93,06/26/2024,40.2172448,-110.5215459
"LILY PAD,UPPER DG-25",DUCHESNE,BROOK TROUT,1102,2.93,06/26/2024,40.2172448,-110.5215459
LITTLE ANTIMONY EMW,GARFIELD,TIGER TROUT,52,2.89,07/23/2024,38.1169284,-111.99964
LITTLE BLUE,SANPETE,BROOK TROUT,100,2.71,07/01/2024,39.3090085,-111.5706786
LITTLE BRUSH CR,UINTAH,RAINBOW,366,9.84,06/11/2024,40.7092698,-109.5004095
LITTLE CR RES,RICH,RAINBOW,3802,9.87,04/23/2024,41.5629707,-111.1891151
LITTLE DEER CR L D47,WASATCH,BROOK TROUT,296,2.9,07/09/2024,40.4303836,-111.5526227
LITTLE DELL RES,SALT LAKE,CUTTHROAT,10298,7.25,06/11/2024,40.773,-111.6935
LITTLE DOG L X-33,DUCHESNE,BROOK TROUT,699,2.93,06/26/2024,40.2172448,-110.5215459
LITTLE MONTES RES,UINTAH,RAINBOW,250,17.1,04/10/2024,40.1069499,-109.3783206
LITTLE RES,BEAVER,BROWN TROUT,273,2.59,04/18/2024,38.3266376,-113.287085
LITTLE SCOUT L EB,GARFIELD,BROOK TROUT,205,2.63,06/24/2024,37.8400344,-111.2845025
LLOYDS L,SAN JUAN,RAINBOW,3900,9.95,04/04/2024,37.4634157,-109.7591675
LOG POND #1,SANPETE,BROOK TROUT,125,2.71,07/01/2024,39.3090085,-111.5706786
LOGAN R,CACHE,RAINBOW,900,11.99,06/06/2024,41.7369803,-111.8338359
LONG PARK RES,DAGGETT,RAINBOW,100,12.25,06/07/2024,40.9047931,-109.8807465
LONG WILLOW BOTTOMS,GARFIELD,CUTTHROAT,500,1.69,09/26/2024,37.908,-111.846
LOST CR RES,MORGAN,RAINBOW,4500,12.6,04/30/2024,41.0576176,-111.6183755
LOST CREEK RESERVOIR,SEVIER,TIGER TROUT,5000,2.25,04/24/2024,38.707774,-111.6981189
LOST L A-59,SUMMIT,RAINBOW,1156,12.25,06/17/2024,40.8297566,-110.9983515
LOST L Z-29,DUCHESNE,BROOK TROUT,1506,2.91,06/28/2024,40.2172448,-110.5215459
LOST L(GOVERNMNT)NBS,WAYNE,BROOK TROUT,305,2.62,06/24/2024,38.3337024,-110.8076084
LOUDER RANGER STA,IRON,TIGER TROUT,103,9.0,07/01/2024,37.7854715,-113.1918021
LOVENIA L W-23,SUMMIT,BROOK TROUT,296,2.9,07/02/2024,40.8297566,-110.9983515
LOWER WPA,SANPETE,BROOK TROUT,301,2.71,07/01/2024,39.3090085,-111.5706786
"LYMAN L, LOWER G-25",SUMMIT,RAINBOW,822,9.91,06/04/2024,40.8297566,-110.9983515
"LYMAN L, UPPER G-27",SUMMIT,RAINBOW,771,9.91,06/04/2024,40.8297566,-110.9983515
MABA L Z-8,DUCHESNE,BROOK TROUT,296,2.9,07/02/2024,40.2172448,-110.5215459
MAMMOTH CR,GARFIELD,BROWN TROUT,3185,3.46,05/14/2024,37.5418953,-112.6455221
MANILA CREEK PARK POND,UTAH,RAINBOW,470,9.75,02/21/2024,40.3986763,-111.7514051
MANNING MEADOW RES,PIUTE,CUTTHROAT,14040,1.64,09/16/2024,38.4949781,-112.0635282
MANTI CR,SANPETE,CUTTHROAT,12000,1.93,09/17/2024,39.2682951,-111.6368627
MANTUA RES,BOX ELDER,RAINBOW,5000,11.58,04/16/2024,41.4957692,-111.9438329
MAPLE GROVE SPRINGS,MILLARD,RAINBOW,200,9.95,03/27/2024,39.0386008,-112.0582504
MAPLE L,UTAH,MUSKIE TIGER,200,3.1,05/13/2024,40.0966287,-111.5706786
MARSH L G-19,SUMMIT,RAINBOW,3800,10.77,05/29/2024,40.8297566,-110.9983515
MARY L,SALT LAKE,BROOK TROUT,5001,2.92,07/01/2024,40.644188,-111.9522491
MARYS L,SANPETE,RAINBOW,795,9.41,07/17/2024,39.3090085,-111.5706786
MATT WARNER RES,UINTAH,RAINBOW,11878,3.52,05/15/2024,40.7632929,-109.2973545
MAY DAY POND,GARFIELD,TIGER TROUT,1509,2.68,06/25/2024,37.8400344,-111.2845025
MAYBEY POND,DAVIS,RAINBOW,199,10.18,02/26/2024,41.1089883,-112.0167612
MAYOR'S POND,BOX ELDER,RAINBOW,401,9.52,03/26/2024,41.5036899,-111.9986393
MCCLELLAN RES,UTAH,RAINBOW,1197,10.6,06/03/2024,40.0966287,-111.5706786
MCGATH LAKE GT,GARFIELD,BROOK TROUT,1996,2.62,06/25/2024,38.0001889,-111.5699333
MEADOW CRK P,WEBER,BROOK TROUT,302,15.21,01/22/2024,41.1776305,-111.9343762
MEDICINE L,SAN JUAN,RAINBOW,1025,9.95,06/11/2024,37.4634157,-109.7591675
MEEKS L TLM,SEVIER,RAINBOW,766,3.99,06/03/2024,38.7333524,-111.6660725
MERCHANT VALLEY RES,BEAVER,BROWN TROUT,206,5.2,07/08/2024,38.3266376,-113.287085
MIDAS POND,SALT LAKE,RAINBOW,126,16.67,01/23/2024,40.547086,-111.9165711
MILL CR,GRAND,BROWN TROUT,4000,2.59,04/16/2024,38.5604142,-109.5288151
MILL HOLLOW RES,WASATCH,RAINBOW,1501,10.24,06/17/2024,40.4905057,-111.1063991
MILL MEADOW RES,SEVIER,RAINBOW,2289,10.24,04/08/2024,38.5086499,-111.566207
MILLER L BTN,WAYNE,TIGER TROUT,311,9.55,06/26/2024,38.3337024,-110.8076084
MILLERS FLAT RES,SANPETE,RAINBOW,20375,3.13,07/11/2024,39.5406897,-111.2472414
MILLRACE PARK POND,SALT LAKE,RAINBOW,374,9.52,03/11/2024,40.65516160000001,-111.9231385
